UK Days of Air Frost
Areal series, starting from 1961
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Values are ranked and displayed to 1 dp. Where values are equal, rankings are based in order of year descending.
All 2017 data are provisional.  Last updated 02/01/2018.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1961   12.4    3.0    3.8    2.1    1.0    0.1    0.0    0.0    0.0    0.6    6.4   18.7     ---    7.0    0.2    7.1    48.3
1962    9.2   10.2   19.3    4.7    1.0    0.5    0.0    0.1    0.1    1.4    8.8   16.5    38.1   25.0    0.5   10.3    71.8
1963   26.4   25.1    7.9    3.0    0.7    0.0    0.0    0.0    0.1    0.3    4.8   14.4    68.1   11.6    0.0    5.2    82.8
1964   11.1   10.4   10.4    2.5    0.1    0.2    0.0    0.1    0.3    2.6    5.4   15.6    35.9   13.0    0.3    8.3    58.8
1965   15.9   13.0   13.2    4.0    1.0    0.1    0.0    0.0    0.1    1.1   13.5   11.5    44.5   18.1    0.1   14.7    73.3
1966   15.5    9.5    6.3    6.8    0.7    0.1    0.0    0.1    0.0    1.8    7.9    8.9    36.4   13.7    0.1    9.7    57.4
1967   10.5    7.8    4.5    4.3    2.2    0.1    0.0    0.0    0.1    0.9    7.5   12.4    27.3   11.0    0.1    8.5    50.4
1968   12.5   20.7    8.3    9.1    2.5    0.1    0.0    0.0    0.1    0.2    5.6   14.4    45.6   20.0    0.1    5.9    73.5
1969    8.8   19.9   16.0    7.7    0.8    0.2    0.0    0.0    0.3    0.3   12.5   14.4    43.0   24.5    0.2   13.0    80.8
1970   11.7   16.6   16.1    9.4    0.1    0.0    0.0    0.0    0.1    1.0    4.4   11.4    42.7   25.6    0.1    5.5    70.9
1971    8.8    8.8   10.0    4.5    1.6    0.1    0.0    0.0    0.3    2.0   10.5    4.7    29.0   16.1    0.1   12.8    51.3
1972   10.6    7.8    8.0    1.8    0.4    0.1    0.0    0.0    0.9    1.4    8.6    7.3    23.1   10.2    0.1   10.8    46.8
1973    9.8   12.2    9.5    6.0    1.3    0.1    0.0    0.1    0.1    3.4    9.9   11.3    29.4   16.9    0.2   13.5    64.0
1974    6.0    6.8    8.3    5.5    1.3    0.1    0.0    0.0    0.8    1.7    3.9    3.2    24.1   15.1    0.1    6.4    37.7
1975    6.7    9.2   11.3    6.3    2.1    0.4    0.0    0.0    0.6    1.3    6.9    8.3    19.1   19.7    0.4    8.8    53.1
1976   10.1   10.2   11.6    4.5    0.3    0.0    0.0    0.0    0.1    0.6    6.2   18.6    28.6   16.4    0.1    6.9    62.2
1977   16.2    9.2    4.9    6.4    2.3    0.2    0.0    0.1    0.2    0.2    8.0    4.8    44.0   13.5    0.3    8.4    52.5
1978   15.1   16.6    6.3    7.3    0.7    0.1    0.0    0.0    0.0    0.3    5.6   12.4    36.5   14.4    0.2    5.9    64.5
1979   25.3   20.4   12.7    5.0    5.2    0.0    0.0    0.0    0.6    0.7    7.3    9.3    58.1   22.9    0.1    8.6    86.6
1980   17.5    6.9   10.8    3.3    1.7    0.1    0.0    0.0    0.0    2.7    7.5    9.5    33.7   15.8    0.1   10.2    60.0
1981   13.0   16.4    5.2    6.2    1.5    0.1    0.0    0.0    0.1    3.8    3.6   21.2    38.9   12.9    0.1    7.4    71.2
1982   13.9    8.6    7.1    3.9    3.2    0.1    0.0    0.0    0.2    0.8    5.0   13.2    43.7   14.2    0.1    6.0    56.0
1983    5.7   18.5    5.2    7.7    0.5    0.1    0.0    0.0    0.2    2.9    6.3    7.3    37.4   13.4    0.1    9.4    54.5
1984   16.1   11.2    8.9    7.0    2.5    0.1    0.0    0.0    0.2    0.8    2.4    8.0    34.7   18.4    0.1    3.3    57.1
1985   23.0   14.7   13.0    3.4    0.7    0.2    0.0    0.0    0.0    1.1   14.1    7.7    45.7   17.1    0.2   15.2    78.0
1986   14.7   23.7    9.4    8.2    0.2    0.1    0.0    0.1    1.3    0.7    3.1    7.9    46.1   17.7    0.2    5.2    69.4
1987   19.6   14.4   15.3    1.5    1.0    0.1    0.0    0.0    0.3    2.6    3.7    8.6    41.9   17.8    0.1    6.6    67.1
1988    8.0    9.0    7.6    5.1    0.4    0.1    0.0    0.0    0.2    2.3    9.8    1.8    25.6   13.1    0.1   12.3    44.4
1989    4.5    7.4    5.9    7.1    0.6    0.3    0.0    0.0    0.2    0.2    6.3   10.2    13.7   13.5    0.3    6.7    42.6
1990    4.5    3.6    3.6    6.1    0.4    0.0    0.0    0.0    0.2    0.4    4.9   10.8    18.3   10.0    0.0    5.5    34.4
1991   15.3   18.5    4.8    3.9    0.9    0.5    0.0    0.0    0.4    0.7    5.7    9.6    44.5    9.6    0.5    6.8    60.3
1992   13.3    7.8    2.9    2.4    0.5    0.0    0.0    0.0    0.0    4.9    4.4   12.8    30.7    5.8    0.0    9.3    49.0
1993    7.4    5.6    8.2    1.5    1.1    0.0    0.0    0.0    0.6    5.2   11.4   10.5    25.7   10.8    0.1   17.3    51.6
1994    9.6   13.8    3.9    4.2    1.6    0.0    0.0    0.0    0.1    1.4    1.1    7.5    33.9    9.7    0.0    2.6    43.2
1995   12.5    5.8   13.4    4.5    2.9    0.1    0.0    0.0    0.3    0.5    5.1   16.1    25.7   20.8    0.1    5.9    61.1
1996    7.9   18.2    9.7    4.9    4.2    0.1    0.0    0.0    0.1    0.3   12.5   14.9    42.2   18.8    0.1   12.9    72.7
1997   17.3    5.5    3.3    4.1    2.0    0.1    0.0    0.0    0.2    4.3    2.3    7.0    37.7    9.4    0.1    6.8    46.1
1998    9.9    4.3    5.1    5.6    0.4    0.2    0.0    0.0    0.1    1.7    7.0    9.5    21.3   11.1    0.2    8.8    43.8
1999    7.6    9.1    4.7    4.3    0.2    0.1    0.0    0.1    0.0    0.7    3.1   11.0    26.1    9.2    0.2    3.8    40.9
2000    9.2    6.6    5.4    5.4    0.5    0.1    0.0    0.0    0.0    0.7    3.4    9.5    26.8   11.2    0.1    4.1    40.8
2001   14.6   14.1   11.2    4.3    1.2    0.1    0.0    0.0    0.0    0.1    4.8   16.0    38.2   16.7    0.1    4.9    66.5
2002    7.7    5.9    5.6    3.7    0.5    0.0    0.0    0.0    0.1    2.8    1.5    6.1    29.6    9.7    0.0    4.4    33.8
2003   12.4   13.7    7.3    3.9    0.3    0.0    0.0    0.0    0.2    4.2    3.1   11.1    32.2   11.5    0.0    7.5    56.3
2004    9.6   12.4    6.7    1.1    0.5    0.0    0.0    0.0    0.1    0.4    4.3    8.5    33.1    8.3    0.1    4.8    43.7
2005    5.4   10.5    7.6    2.9    1.6    0.1    0.0    0.0    0.1    0.2   10.0   10.3    24.5   12.1    0.1   10.3    48.8
2006    9.6   10.8   13.1    4.3    0.7    0.0    0.0    0.0    0.0    0.1    3.1    5.9    30.8   18.1    0.0    3.3    47.8
2007    5.5    7.4    5.2    1.6    0.7    0.1    0.0    0.0    0.4    1.0    4.4   10.6    18.8    7.5    0.1    5.8    36.9
2008    6.1   10.3    7.4    5.9    0.5    0.1    0.0    0.0    0.1    2.8    5.3   14.3    27.1   13.7    0.1    8.2    52.8
2009   14.3   11.9    6.3    1.8    0.4    0.2    0.0    0.0    0.1    0.6    2.0   16.3    40.6    8.5    0.2    2.7    53.9
2010   18.5   16.8   10.9    4.2    2.5    0.0    0.0    0.0    0.3    2.2   10.9   23.3    51.5   17.5    0.1   13.3    89.5
2011   14.3    4.8    8.5    0.7    0.7    0.1    0.0    0.0    0.0    0.4    1.4    7.4    42.4    9.9    0.1    1.9    38.3
2012    8.6   11.1    3.4    5.9    2.0    0.2    0.0    0.1    0.3    2.7    5.8   11.2    27.1   11.3    0.3    8.7    51.2
2013   13.3   14.0   18.1    8.5    1.3    0.0    0.0    0.0    0.1    0.3    6.5    4.1    38.4   27.8    0.1    6.9    66.2
2014    5.8    3.3    5.0    1.4    0.5    0.0    0.0    0.1    0.0    0.4    2.5   10.3    13.1    7.0    0.1    3.0    29.4
2015   11.9   10.8    6.8    3.6    1.2    0.1    0.0    0.0    0.1    0.7    2.7    2.4    33.0   11.6    0.1    3.6    40.5
2016    9.0   11.8    7.7    6.0    0.6    0.0    0.0    0.1    0.0    0.6    8.0    6.0    23.2   14.3    0.1    8.7    49.9
2017   13.1    6.1    3.8    2.7    0.8    0.1    0.0    0.0    0.1    0.6    5.9   11.8    25.2    7.2    0.1    6.5    44.9
