UK Minimum Temperature (Degrees C)
Areal series, starting from 1910
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Monthly values are ranked and displayed to 1 dp and seasonal/annual values to 2 dp. Where values are equal, rankings are based in order of year descending.
All 2017 data are provisional.  Last updated 02/01/2018.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1910   -0.3    0.9    1.5    2.2    5.6    8.8    9.3   10.4    7.7    6.7   -0.3    3.1     ---   3.12   9.48   4.73    4.65
1911    0.9    0.9    1.2    2.8    6.6    8.4   10.7   11.6    7.8    4.8    2.2    2.6    1.63   3.54  10.27   4.96    5.08
1912    0.3    1.2    3.0    3.0    6.1    8.6   10.5    8.2    6.5    3.5    2.7    2.4    1.39   4.04   9.09   4.24    4.69
1913    1.0    0.9    1.4    3.0    5.8    8.3    9.5    9.4    8.8    6.6    4.1    1.7    1.47   3.40   9.05   6.52    5.06
1914    0.3    2.4    1.5    3.7    5.1    8.3   10.4   10.3    7.6    5.9    2.7    0.7    1.42   3.40   9.67   5.42    4.91
1915    0.6    0.1    0.7    2.6    4.4    7.6    9.3   10.1    7.9    4.7   -0.7    1.2    0.50   2.55   9.03   3.97    4.07
1916    3.6    0.0   -0.2    2.8    5.6    6.7    9.8   10.6    8.2    6.1    3.3   -0.7    1.64   2.69   9.05   5.89    4.66
1917   -0.7   -2.0   -0.9    0.3    6.0    8.5   10.0   11.0    8.9    2.9    4.2   -0.8   -1.08   1.83   9.83   5.33    3.99
1918   -0.2    2.9    1.2    2.0    6.6    7.1    9.6   10.7    6.8    5.1    1.6    3.0    0.56   3.27   9.16   4.52    4.72
1919   -0.1   -1.6   -0.7    2.3    6.6    8.0    8.6    9.9    7.3    3.3   -0.5    1.5    0.52   2.72   8.85   3.40    3.76
1920    0.9    1.8    2.2    3.6    6.1    8.4    9.3    8.6    7.8    6.1    3.4    0.8    1.40   3.98   8.78   5.76    4.93
1921    3.1    1.2    2.3    2.5    5.2    7.9   11.0    9.9    8.4    7.6    1.5    2.9    1.75   3.35   9.61   5.86    5.33
1922    0.4    0.7    0.9    0.4    6.1    7.7    8.5    8.5    7.2    4.1    2.2    2.5    1.35   2.47   8.24   4.49    4.12
1923    2.2    2.2    2.2    2.7    4.1    7.4   11.6    9.6    7.1    5.6   -0.2    0.4    2.32   3.02   9.55   4.18    4.60
1924    1.4    0.4   -0.9    1.9    5.9    8.4    9.8    9.4    8.5    5.9    3.8    3.7    0.72   2.32   9.22   6.09    4.88
