UK Sunshine (Total hours)
Areal series, starting from 1929
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Values are ranked and displayed to 1 dp. Where values are equal, rankings are based in order of year descending.
All 2017 data are provisional.  Last updated 02/01/2018.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1929   39.5   51.6  169.5  153.1  211.5  199.2  184.2  141.6  151.6   98.9   55.0   49.3     ---  534.2  525.0  305.6  1505.2
1930   44.8   68.4  104.8  121.9  159.4  215.2  145.0  158.4  105.8   94.9   62.1   29.0   162.5  386.1  518.5  262.7  1309.5
1931   54.2   58.5  132.4  111.3  163.5  147.2  116.4  153.0  101.5  107.8   48.7   31.1   141.6  407.2  416.6  258.0  1225.6
1932   47.5   70.6  105.9  131.0  126.2  196.8  123.6  145.9  109.3   81.9   44.8   40.9   149.2  363.1  466.4  236.0  1224.5
1933   56.2   72.9  144.5  127.2  142.5  207.3  188.8  189.6  159.1   76.0   52.1   35.8   170.1  414.2  585.7  287.2  1452.1
1934   47.5   80.2  107.3  118.3  176.8  195.0  223.0  148.7  143.3   73.3   40.5   21.0   163.5  402.4  566.6  257.0  1374.7
1935   42.8   53.9  110.2  132.7  216.5  167.1  224.6  164.3  125.2   73.8   53.8   43.5   117.7  459.4  556.0  252.8  1408.4
1936   38.2   70.9   65.1  158.6  179.8  183.2  130.8  160.7   99.1   97.9   47.9   41.0   152.6  403.5  474.7  244.9  1273.2
1937   36.0   63.5  103.4   91.6  184.7  164.3  119.4  166.0  131.0   77.0   54.8   33.0   140.5  379.7  449.6  262.8  1224.6
1938   37.9   60.5  115.2  163.8  160.3  170.7  133.3  159.6  107.5   94.0   54.2   43.4   131.4  439.2  463.5  255.8  1300.3
1939   40.7   67.7   93.9  157.4  185.7  214.5  124.5  153.4  124.7  100.9   39.1   33.0   151.8  437.1  492.3  264.6  1335.5
1940   54.4   37.1  105.0  112.2  199.7  263.3  151.5  158.5  142.5   72.4   53.2   34.7   124.5  417.0  573.3  268.0  1384.5
1941   37.9   61.0  104.2  106.3  154.7  190.7  175.1  145.2   98.5   93.5   41.5   33.5   133.5  365.2  511.0  233.4  1241.9
1942   33.9   53.4   77.7  204.6  201.7  193.0  161.1  111.4  125.1   77.3   53.2   30.7   120.8  484.0  465.5  255.6  1323.0
1943   38.9   72.8  120.3  143.5  212.5  183.6  195.0  129.6  121.3   85.7   56.8   37.4   142.4  476.2  508.2  263.8  1397.3
1944   32.0   63.3  115.1  130.2  175.5  146.3  107.2  172.1  122.8   84.0   45.6   41.1   132.8  420.8  425.5  252.3  1235.2
1945   47.7   62.1  109.7  173.7  164.8  171.8  153.9  157.4   91.4   93.3   42.4   34.0   150.8  448.1  483.0  227.0  1302.0
1946   45.8   71.1  100.4  168.9  210.2  158.8  162.1  138.3   96.8   77.7   39.2   50.0   150.9  479.4  459.2  213.7  1319.3
1947   45.6   43.4   79.6  134.7  166.4  156.3  155.7  257.0  124.7   95.2   70.1   28.1   139.0  380.7  568.9  289.9  1356.6
1948   35.1   64.6  145.0  173.8  238.7  149.8  164.5  111.6  115.9   89.0   60.8   47.4   127.8  557.5  425.9  265.6  1396.1
1949   44.9   93.3  113.9  152.5  207.6  243.1  193.8  169.1  137.4   86.6   55.3   39.3   185.6  474.0  606.0  279.2  1536.8
1950   36.3   68.2  114.2  144.1  176.6  210.9  172.0  158.1  102.9   90.9   56.9   37.1   143.8  434.9  540.9  250.6  1368.0
1951   42.1   62.0   86.6  172.4  179.8  213.9  172.5  138.9  108.9   99.4   49.3   44.8   141.2  438.8  525.3  257.6  1370.7
1952   61.5   74.3   94.0  156.7  186.8  171.1  168.1  148.6  112.8   98.9   63.1   44.4   180.7  437.5  487.8  274.8  1380.3
1953   37.6   62.5  132.2  163.4  195.9  152.9  156.3  170.6  124.5   83.2   44.2   33.3   144.5  491.6  479.8  251.9  1356.7
1954   47.1   56.8  101.5  180.3  151.1  138.7  121.5  116.5  139.8   75.3   51.0   36.3   137.2  432.8  376.8  266.2  1215.9
1955   36.5   79.6  139.7  165.7  203.5  159.1  256.0  183.4  140.8  102.2   52.3   38.3   152.4  508.9  598.5  295.3  1557.1
1956   48.6   67.5  129.6  163.5  211.7  162.5  153.2  140.3   91.9  101.0   50.6   19.8   154.4  504.8  456.0  243.5  1340.2
1957   45.4   78.2   81.6  160.0  198.6  264.4  124.7  132.1  107.3   74.7   52.8   47.0   143.4  440.2  521.3  234.8  1366.8
1958   45.8   51.7  104.6  139.8  178.4  134.0  163.2  119.1  119.2   87.2   45.2   31.2   144.6  422.8  416.3  251.6  1219.4
1959   70.1   61.9   95.9  135.9  215.7  209.8  195.4  177.5  173.0  120.7   49.9   28.0   163.1  447.5  582.6  343.6  1533.8
1960   37.4   82.5   75.3  147.7  183.1  233.9  142.4  150.2  124.3   61.6   58.9   47.2   148.0  406.0  526.5  244.9  1344.6
1961   39.4   60.0  117.2  100.8  193.5  184.6  139.2  154.5  116.7   98.5   58.5   46.7   146.6  411.5  478.2  273.7  1309.5
1962   51.2   67.9  111.0  167.3  163.3  207.5  132.0  145.0   97.0   93.4   38.5   51.3   165.8  441.6  484.5  228.8  1325.3
1963   57.3   79.5  100.7  120.9  180.6  179.2  168.7  112.2  126.7   75.5   47.1   39.6   188.1  402.2  460.1  249.3  1287.9
1964   38.4   60.0   64.0  115.3  173.9  145.8  159.9  163.3  150.4   94.1   52.6   39.2   138.0  353.3  469.0  297.1  1257.0
1965   57.5   41.3  116.6  147.0  147.1  157.1  119.9  157.0   91.4   98.0   66.6   44.3   138.0  410.8  434.0  255.9  1244.0
1966   28.5   38.5  107.3  101.3  202.6  140.3  160.5  157.4  118.5   79.1   50.1   33.9   111.3  411.3  458.2  247.7  1218.1
1967   48.6   70.3  130.2  127.0  150.3  205.6  165.2  142.9  106.2   88.4   58.1   47.0   152.9  407.5  513.6  252.6  1339.6
1968   33.4   73.5  104.3  166.2  147.4  187.8  135.9  150.8  106.4   56.6   42.7   29.9   153.9  417.9  474.4  205.7  1234.8
